Generation,Fitness,HPFitness,ManaFitness,UnweightedManaFitness,SurviveReward,RoundRewards,WinReward
0,764.0075,14.94086,0,0.6146666,300,149.0667,300
1,808.2876,27.44316,0,0.7716668,290,190.8444,300
2,818.8971,24.40821,0,0.8280001,300,194.4889,300
3,806.0358,11.8136,0,0.5436667,300,194.2222,300
4,804.1082,9.885965,0,0.5403334,300,194.2222,300
5,814.7122,15.60105,0,0.6500001,300,199.1111,300
6,816.8217,36.06612,0,0.8466669,290,190.7556,300
7,839.4701,43.02569,0,0.7653333,300,196.4444,300
8,832.8546,36.4101,0,0.8206666,300,196.4444,300
9,833.6362,37.19175,0,0.8113333,300,196.4444,300
10,834.6833,38.23895,0,0.8046666,300,196.4444,300
11,833.3474,36.90293,0,0.8146666,300,196.4444,300
12,831.8925,35.44803,0,0.8206666,300,196.4444,300
13,834.8292,38.38471,0,0.8019999,300,196.4444,300
14,834.3497,37.90532,0,0.8066666,300,196.4444,300
15,834.2915,37.84707,0,0.8053333,300,196.4444,300
16,838.8386,42.39423,0,0.7773333,300,196.4444,300
17,835.2067,38.76227,0,0.8026667,300,196.4444,300
18,835.1718,38.72733,0,0.79,300,196.4444,300
19,845.3177,46.20661,0,0.7426666,300,199.1111,300
20,845.6631,53.66319,0,0.7666667,300,192,300
21,847.0992,55.09923,0,0.7646666,300,192,300
22,847.1846,55.18459,0,0.8093335,300,192,300
23,846.1461,54.14612,0,0.762,300,192,300
24,853.9298,55.61871,0,0.7786667,300,198.3111,300
25,853.5544,53.5544,0,0.7826668,300,200,300
26,848.697,51.9859,0,0.6843334,300,196.7111,300
27,854.6157,55.41575,0,0.7360001,300,199.2,300
28,855.0095,55.89839,0,0.718,300,199.1111,300
29,857.7127,57.71271,0,0.8013333,300,200,300
30,855.6037,56.31477,0,0.7926668,300,199.2889,300
31,860.587,61.47584,0,0.7253335,300,199.1111,300
32,857.8951,58.69506,0,0.7300001,300,199.2,300
33,861.8735,65.42906,0,0.7829999,300,196.4444,300
34,864.8336,68.38917,0,0.8060001,300,196.4444,300
35,864.8701,68.42568,0,0.7993333,300,196.4444,300
36,866.937,67.82581,0,0.772,300,199.1111,300
37,861.5217,62.41056,0,0.7873333,300,199.1111,300
38,868.7708,69.65966,0,0.7586666,300,199.1111,300
39,863.34,64.22885,0,0.7500001,300,199.1111,300
40,861.9677,65.25657,0,0.7896667,300,196.7111,300
41,865.7834,65.78336,0,0.8660001,300,200,300
42,868.8182,71.66272,0,0.8246667,300,197.1555,300
43,863.8477,67.40331,0,0.8066667,300,196.4444,300
44,864.5914,68.14698,0,0.8053333,300,196.4444,300
45,866.0724,69.628,0,0.8000001,300,196.4444,300
46,866.0812,69.63675,0,0.7869999,300,196.4444,300
47,864.8224,68.37795,0,0.8133334,300,196.4444,300
48,869.1617,72.71725,0,0.7866666,300,196.4444,300
49,862.9564,66.51193,0,0.8066667,300,196.4444,300
50,868.5725,72.12807,0,0.7799999,300,196.4444,300
51,865.2001,68.75565,0,0.8033334,300,196.4444,300
52,867.4248,70.98035,0,0.7799999,300,196.4444,300
53,866.0032,69.55878,0,0.7933332,300,196.4444,300
54,869.2621,72.81767,0,0.8166667,300,196.4444,300
55,865.4262,68.98177,0,0.784,300,196.4444,300
56,870.4512,74.00673,0,0.8019999,300,196.4444,300
57,867.9506,71.5062,0,0.8019999,300,196.4444,300
58,866.2484,69.80391,0,0.812,300,196.4444,300
59,867.8814,71.43697,0,0.8053333,300,196.4444,300
60,868.6801,72.23571,0,0.8066667,300,196.4444,300
61,869.069,72.62462,0,0.7839999,300,196.4444,300
62,869.2611,72.81671,0,0.8233334,300,196.4444,300
