Generation,Fitness,HPFitness,ManaFitness,UnweightedManaFitness,SurviveReward,RoundRewards,WinReward
0,784.8294,14.87386,0,0.6373334,300,169.9556,300
1,803.2215,18.24374,0,0.6073334,300,184.9778,300
2,821.7665,51.36646,0,0.8806667,300,170.4,300
3,816.8519,18.54074,0,0.748,300,198.3111,300
4,823.7507,37.97293,0,0.6286665,300,185.7778,300
5,821.5676,35.78978,0,0.6479999,300,185.7778,300
6,833.1384,47.36065,0,0.6193332,300,185.7778,300
7,830.813,45.03519,0,0.6253332,300,185.7778,300
8,825.4932,36.11546,0,0.6413333,290,199.3778,300
9,823.8989,24.96559,0,0.6563333,300,198.9333,300
10,825.173,38.50638,0,0.7336668,300,186.6667,300
11,821.3763,23.06524,0,0.7653334,300,198.3111,300
12,828.4991,31.52128,0,0.7573333,300,196.9778,300
13,838.4622,38.63991,0,0.6976668,300,199.8222,300
14,829.8913,29.98018,0,0.7146667,300,199.9111,300
15,834.4317,34.69838,0,0.7020001,300,199.7333,300
16,828.5152,49.04852,0,0.7216667,280,199.4667,300
17,839.1805,39.5361,0,0.6676668,300,199.6444,300
18,835.1753,47.04198,0,0.6763335,290,198.1333,300
19,837.7663,37.85519,0,0.7013334,300,199.9111,300
20,834.9863,35.16413,0,0.6980001,300,199.8222,300
21,831.1553,41.42202,0,0.7093334,290,199.7333,300
22,829.681,29.68103,0,0.7213334,300,200,300
23,828.9508,29.30633,0,0.7363334,300,199.6445,300
24,828.9954,33.43982,0,0.6303332,300,195.5556,300
25,831.3002,34.85573,0,0.6306666,300,196.4444,300
26,833.0859,36.64143,0,0.7066666,300,196.4444,300
27,835.9446,36.74467,0,0.7086666,300,199.2,300
28,845.2759,46.43151,0,0.8280002,300,198.8445,300
29,837.1304,50.95258,0,0.7096667,290,196.1778,300
30,849.2473,50.40283,0,0.7110001,300,198.8445,300
31,844.5134,45.66897,0,0.7193334,300,198.8445,300
32,845.359,47.22566,0,0.772,300,198.1333,300
33,850.3546,50.88793,0,0.8393334,300,199.4667,300
34,859.7825,59.78253,0,0.7566665,300,200,300
35,849.444,49.53287,0,0.6493334,300,199.9111,300
36,852.5612,53.09448,0,0.6713333,300,199.4667,300
37,851.0726,51.42815,0,0.669,300,199.6444,300
38,848.6187,49.15205,0,0.6623334,300,199.4667,300
39,859.5206,60.40954,0,0.6866667,300,199.1111,300
40,862.1627,63.05156,0,0.7283335,300,199.1111,300
41,849.8898,50.77874,0,0.774,300,199.1111,300
42,853.3,53.92226,0,0.716,300,199.3778,300
43,864.2002,65.08908,0,0.698,300,199.1111,300
44,858.8286,59.71742,0,0.7373334,300,199.1111,300
45,858.1976,58.46433,0,0.737,300,199.7333,300
46,859.3519,59.70745,0,0.7283334,300,199.6445,300
47,864.6602,65.54911,0,0.704,300,199.1111,300
48,862.2437,63.04373,0,0.7333333,300,199.2,300
49,863.0225,63.55587,0,0.768,300,199.4667,300
50,864.743,65.63187,0,0.734,300,199.1111,300
51,865.7589,66.64778,0,0.7013334,300,199.1111,300
