Generation,Fitness,HPFitness,ManaFitness,UnweightedManaFitness,SurviveReward,RoundRewards,WinReward
0,759.4623,11.01786,0,0.746,300,148.4445,300
1,792.3613,14.58352,0,0.5700001,300,177.7778,300
2,795.4262,17.64843,0,0.5683333,300,177.7778,300
3,826.3519,26.61861,0,0.7903334,300,199.7333,300
4,823.8083,24.07495,0,0.7790002,300,199.7333,300
5,823.0546,26.61017,0,0.7700002,300,196.4444,300
6,823.1656,26.18786,0,0.6886667,300,196.9778,300
7,824.175,24.6195,0,0.7676668,300,199.5556,300
8,824.8787,25.14538,0,0.8176667,300,199.7333,300
9,821.5933,21.59325,0,0.5563332,300,200,300
10,827.3103,30.86587,0,0.7533334,300,196.4444,300
11,841.3372,43.91494,0,0.8463334,300,197.4222,300
12,837.4645,41.90896,0,0.8313335,300,195.5556,300
13,835.729,36.61789,0,0.8873335,300,199.1111,300
14,830.9768,41.86567,0,0.8823335,290,199.1111,300
15,840.5128,41.40162,0,0.8773335,300,199.1111,300
16,844.0292,44.56253,0,0.9153334,300,199.4667,300
17,840.7034,51.59227,0,0.8950001,290,199.1111,300
18,841.3605,42.24937,0,0.8873335,300,199.1111,300
19,842.1456,43.0345,0,0.8973333,300,199.1111,300
20,845.5619,46.27301,0,0.8136669,300,199.2889,300
21,835.0612,35.95005,0,0.8800002,300,199.1111,300
22,847.7515,51.30703,0,0.7576668,300,196.4444,300
23,841.2405,44.79605,0,0.7730001,300,196.4444,300
24,843.9083,47.46392,0,0.8786667,300,196.4444,300
25,847.1569,57.02362,0,0.8243335,300,190.1333,300
26,839.7849,51.51823,0,0.8093335,300,188.2667,300
27,839.769,43.32454,0,0.8680001,300,196.4444,300
28,850.1949,50.2838,0,0.8106669,300,199.9111,300
29,850.963,50.96296,0,0.8283335,300,200,300
30,853.6566,53.65657,0,0.8370001,300,200,300
31,849.1292,52.6848,0,0.8706667,300,196.4444,300
32,855.7067,56.59561,0,0.8633333,300,199.1111,300
33,851.0919,54.64742,0,0.8813335,300,196.4444,300
34,848.3633,58.89658,0,0.8810002,290,199.4667,300
35,853.0052,58.33858,0,0.8353335,300,194.6667,300
36,853.9846,54.8735,0,0.8193333,300,199.1111,300
37,853.0224,56.57795,0,0.858,300,196.4444,300
38,856.1539,59.70948,0,0.8956666,300,196.4444,300
39,859.2092,60.09811,0,0.9086669,300,199.1111,300
40,862.4999,66.0555,0,0.8946667,300,196.4444,300
41,859.2666,62.82217,0,0.8866668,300,196.4444,300
42,859.95,60.83886,0,0.9086668,300,199.1111,300
43,858.7127,60.9349,0,0.8756668,300,197.7778,300
44,858.7819,58.78189,0,0.8546668,300,200,300
45,857.9718,58.23845,0,0.875,300,199.7333,300
46,861.8024,61.89128,0,0.8810002,300,199.9111,300
47,860.8632,61.57432,0,0.9193333,300,199.2889,300
48,859.804,60.69289,0,0.8933333,300,199.1111,300
49,861.4799,62.19106,0,0.9026669,300,199.2889,300
50,860.4695,61.35834,0,0.938,300,199.1111,300
51,861.6192,62.50811,0,0.9180001,300,199.1111,300
52,866.5223,67.41125,0,0.9486669,300,199.1111,300
53,863.3862,64.27513,0,0.8893334,300,199.1111,300
54,866.9899,67.87879,0,0.9173334,300,199.1111,300
55,863.5825,64.47137,0,0.9353334,300,199.1111,300
56,865.2159,66.10486,0,0.9373335,300,199.1111,300
57,863.2631,64.152,0,0.9253334,300,199.1111,300
58,867.5864,68.47523,0,0.8793335,300,199.1111,300
59,865.8567,66.74555,0,0.8853334,300,199.1111,300
60,865.166,66.05483,0,0.9200002,300,199.1111,300
61,864.8928,65.78162,0,0.8753334,300,199.1111,300
62,866.1687,66.96873,0,0.8980001,300,199.2,300
63,868.2382,68.77153,0,0.8673334,300,199.4667,300
64,865.7335,66.62241,0,0.8940002,300,199.1111,300
65,865.7085,66.59741,0,0.9200001,300,199.1111,300
66,867.5863,68.47522,0,0.8760002,300,199.1111,300
67,865.0909,65.9798,0,0.8673334,300,199.1111,300
68,865.9317,66.82058,0,0.9060001,300,199.1111,300
69,867.8076,68.69649,0,0.8840001,300,199.1111,300
70,865.0909,65.97979,0,0.9033335,300,199.1111,300
71,865.7335,66.62241,0,0.8906667,300,199.1111,300
72,866.4742,67.36316,0,0.8946668,300,199.1111,300
73,864.002,64.89081,0,0.9400002,300,199.1111,300
74,867.4632,68.3521,0,0.8806669,300,199.1111,300
75,866.4993,67.38816,0,0.8960001,300,199.1111,300
76,866.6224,67.51131,0,0.8880001,300,199.1111,300
77,865.5604,66.44925,0,0.9180002,300,199.1111,300
78,864.3752,65.26407,0,0.8913335,300,199.1111,300
79,865.8567,66.74554,0,0.9033335,300,199.1111,300
80,866.3011,67.18999,0,0.9080001,300,199.1111,300
81,864.9928,65.88167,0,0.9013335,300,199.1111,300
82,864.9928,65.88168,0,0.9080002,300,199.1111,300
83,865.8567,66.74554,0,0.8706667,300,199.1111,300
84,865.5854,66.47427,0,0.9093335,300,199.1111,300
85,866.6705,67.55941,0,0.9246668,300,199.1111,300
86,867.8826,68.77153,0,0.9126669,300,199.1111,300
87,866.0298,66.91871,0,0.8760001,300,199.1111,300
88,865.3391,66.22799,0,0.8826668,300,199.1111,300
89,868.0558,68.94469,0,0.9080001,300,199.1111,300
90,866.4742,67.36314,0,0.8793335,300,199.1111,300
91,868.2289,69.11784,0,0.8973334,300,199.1111,300
92,866.6475,67.53632,0,0.8706667,300,199.1111,300
93,868.229,69.11786,0,0.9133334,300,199.1111,300
94,867.265,68.15392,0,0.9273335,300,199.1111,300
95,869.0197,69.90861,0,0.9153334,300,199.1111,300
96,865.8567,66.74555,0,0.8693334,300,199.1111,300
97,865.8817,66.77056,0,0.8840001,300,199.1111,300
98,867.3882,68.27706,0,0.8806667,300,199.1111,300
99,866.8206,67.70947,0,0.9013335,300,199.1111,300
100,865.1409,66.02982,0,0.9013335,300,199.1111,300
101,866.6406,67.52943,0,0.8960002,300,199.1111,300
102,867.0919,67.98076,0,0.8893334,300,199.1111,300
103,865.1546,66.04348,0,0.8533335,300,199.1111,300
104,865.3777,66.26665,0,0.8826668,300,199.1111,300
105,869.6105,70.49943,0,0.8993335,300,199.1111,300
106,866.4993,67.38817,0,0.9133334,300,199.1111,300
107,869.1523,70.04118,0,0.9220001,300,199.1111,300
108,864.5732,65.4621,0,0.8620002,300,199.1111,300
109,868.881,69.76991,0,0.9306668,300,199.1111,300
110,869.3873,70.27624,0,0.8853334,300,199.1111,300
111,869.1523,70.04119,0,0.9066668,300,199.1111,300
112,870.2256,70.22559,0,0.8333335,300,200,300
113,868.0765,68.96536,0,0.9166669,300,199.1111,300
114,866.5011,66.50107,0,0.8620001,300,200,300
115,865.6983,66.58719,0,0.9113334,300,199.1111,300
116,868.3478,69.23665,0,0.8806667,300,199.1111,300
117,865.0815,65.97037,0,0.9166669,300,199.1111,300
118,867.6663,68.55523,0,0.854,300,199.1111,300
119,866.0095,66.89836,0,0.8686668,300,199.1111,300
120,867.7164,68.60526,0,0.8726667,300,199.1111,300
121,868.4614,69.35025,0,0.8523334,300,199.1111,300
122,866.6984,67.58723,0,0.8446668,300,199.1111,300
123,867.6801,68.56902,0,0.9180001,300,199.1111,300
124,865.9591,66.84802,0,0.8860002,300,199.1111,300
125,867.7164,68.60526,0,0.8606668,300,199.1111,300
126,868.3478,69.23665,0,0.9046668,300,199.1111,300
127,867.9514,68.8403,0,0.8780001,300,199.1111,300
128,866.9619,67.85074,0,0.8920002,300,199.1111,300
129,868.9791,69.86803,0,0.9066668,300,199.1111,300
130,865.2408,66.12975,0,0.8686668,300,199.1111,300
131,868.1996,69.0885,0,0.8786668,300,199.1111,300
132,867.3951,68.28395,0,0.8973334,300,199.1111,300
133,868.5828,69.47168,0,0.8960002,300,199.1111,300
134,869.5208,70.40968,0,0.8573334,300,199.1111,300
135,867.2719,68.16081,0,0.9413336,300,199.1111,300
136,868.2727,69.16161,0,0.8660001,300,199.1111,300
137,867.295,68.18391,0,0.8560001,300,199.1111,300
138,868.4959,69.3848,0,0.84,300,199.1111,300
139,867.6804,68.56931,0,0.8913335,300,199.1111,300
140,865.861,66.74989,0,0.9256668,300,199.1111,300
141,869.2755,70.16433,0,0.8620001,300,199.1111,300
142,867.4932,68.38208,0,0.8600001,300,199.1111,300
143,868.0377,68.92657,0,0.8793334,300,199.1111,300
144,869.1995,70.08837,0,0.8780001,300,199.1111,300
145,866.3524,67.24123,0,0.8906668,300,199.1111,300
146,867.035,67.92386,0,0.8453334,300,199.1111,300
147,867.28,68.16891,0,0.8686668,300,199.1111,300
148,865.4788,66.36761,0,0.9033335,300,199.1111,300
149,866.5696,67.45844,0,0.8593334,300,199.1111,300
150,872.7768,73.66566,0,0.8693334,300,199.1111,300
151,865.9841,66.87303,0,0.9166668,300,199.1111,300
152,868.3194,69.20828,0,0.8546668,300,199.1111,300
153,868.6078,69.4967,0,0.9086668,300,199.1111,300
154,865.1796,66.06849,0,0.8920002,300,199.1111,300
155,867.3701,68.25893,0,0.8980001,300,199.1111,300
156,868.3694,69.2583,0,0.8733335,300,199.1111,300
157,869.7192,69.71925,0,0.9106668,300,200,300
158,866.4243,67.31313,0,0.8886667,300,199.1111,300
159,867.42,68.30896,0,0.9066669,300,199.1111,300
160,867.0488,67.93763,0,0.8926667,300,199.1111,300
161,868.9543,69.84319,0,0.9180002,300,199.1111,300
162,868.9043,69.79317,0,0.886,300,199.1111,300
163,866.9721,67.86101,0,0.9546668,300,199.1111,300
164,866.7417,67.63059,0,0.9060003,300,199.1111,300
165,867.1573,68.04618,0,0.9046668,300,199.1111,300
166,867.8533,68.74218,0,0.9020002,300,199.1111,300
167,866.5905,67.47941,0,0.8880001,300,199.1111,300
168,868.5828,69.47169,0,0.9060003,300,199.1111,300
169,868.1496,69.03847,0,0.8880002,300,199.1111,300
170,868.9291,69.81801,0,0.8780001,300,199.1111,300
171,867.345,68.23393,0,0.8720001,300,199.1111,300
172,869.8318,70.72068,0,0.8613335,300,199.1111,300
173,867.8033,68.69215,0,0.8733335,300,199.1111,300
174,868.8658,69.7547,0,0.9220002,300,199.1111,300
175,869.6837,70.57253,0,0.8913334,300,199.1111,300
176,870.1669,71.05577,0,0.9126669,300,199.1111,300
177,866.7417,67.63058,0,0.8920001,300,199.1111,300
178,871.8597,71.85969,0,0.86,300,200,300
179,871.3408,72.22972,0,0.8113335,300,199.1111,300
180,867.9442,68.83309,0,0.8980002,300,199.1111,300
181,867.9481,68.83694,0,0.7539999,300,199.1111,300
182,868.2727,69.16161,0,0.8660001,300,199.1111,300
183,868.6368,69.52573,0,0.8746668,300,199.1111,300
184,868.8928,68.89274,0,0.8986667,300,200,300
185,871.6376,72.52652,0,0.8326668,300,199.1111,300
186,867.0397,67.03973,0,0.8853334,300,200,300
187,869.65,70.53883,0,0.8586668,300,199.1111,300
188,868.3478,69.23665,0,0.8039999,300,199.1111,300
189,870.9775,71.86639,0,0.9120002,300,199.1111,300
190,868.5406,69.42948,0,0.9313335,300,199.1111,300
191,871.4653,72.35419,0,0.7759999,300,199.1111,300
192,870.1299,70.12987,0,0.8426666,300,200,300
193,870.4974,71.38633,0,0.8940002,300,199.1111,300
194,869.6711,70.55994,0,0.7813333,300,199.1111,300
195,871.1296,72.01844,0,0.7873333,300,199.1111,300
196,871.7932,71.7932,0,0.8940001,300,200,300
197,870.7013,71.59019,0,0.9153336,300,199.1111,300
198,870.3243,71.21317,0,0.8226666,300,199.1111,300
199,869.0178,69.90673,0,0.8693334,300,199.1111,300
200,872.1108,72.99968,0,0.8580001,300,199.1111,300
201,872.4254,73.31433,0,0.9053334,300,199.1111,300
202,871.9137,72.80259,0,0.7686666,300,199.1111,300
203,870.6495,71.53838,0,0.7659999,300,199.1111,300
204,870.8015,71.69041,0,0.7639999,300,199.1111,300
205,870.4658,71.35466,0,0.8653336,300,199.1111,300
206,869.3142,70.20306,0,0.7833333,300,199.1111,300
207,871.7722,72.6611,0,0.7966666,300,199.1111,300
208,870.6389,71.52782,0,0.8693334,300,199.1111,300
209,871.1296,72.01844,0,0.8906668,300,199.1111,300
210,869.6711,70.55995,0,0.8813335,300,199.1111,300
211,873.097,73.98585,0,0.7493333,300,199.1111,300
212,869.8337,70.72255,0,0.8526667,300,199.1111,300
213,871.119,72.00787,0,0.794,300,199.1111,300
214,870.3243,71.21317,0,0.8,300,199.1111,300
215,872.2628,73.15172,0,0.9233335,300,199.1111,300
216,868.8447,69.73357,0,0.7913333,300,199.1111,300
217,871.649,72.53793,0,0.8793334,300,199.1111,300
218,869.4979,70.3868,0,0.7939999,300,199.1111,300
219,869.3536,70.24249,0,0.78,300,199.1111,300
220,868.0183,68.90719,0,0.7853333,300,199.1111,300
221,868.8341,69.72301,0,0.8786668,300,199.1111,300
222,869.999,69.99894,0,0.9113334,300,200,300
223,870.6495,71.53838,0,0.7793332,300,199.1111,300
224,871.7617,72.65054,0,0.7966666,300,199.1111,300
225,868.8552,69.74413,0,0.8006666,300,199.1111,300
226,873.905,74.79393,0,0.9166668,300,199.1111,300
227,872.3409,73.22978,0,0.9053335,300,199.1111,300
228,869.9963,70.88515,0,0.7639999,300,199.1111,300
229,870.251,71.13983,0,0.8073334,300,199.1111,300
230,870.1406,71.02945,0,0.9026667,300,199.1111,300
231,870.4869,71.37578,0,0.8813334,300,199.1111,300
232,869.3248,70.21363,0,0.9120002,300,199.1111,300
233,870.9669,71.85583,0,0.6626667,300,199.1111,300
234,869.5085,70.39735,0,0.9033335,300,199.1111,300
235,871.2922,72.18104,0,0.8813335,300,199.1111,300
236,868.2126,69.10147,0,0.8753335,300,199.1111,300
237,870.1617,71.05058,0,0.6786667,300,199.1111,300
238,870.4763,71.36521,0,0.7853333,300,199.1111,300
239,869.3036,70.19251,0,0.8740001,300,199.1111,300
240,869.4283,70.31718,0,0.8846668,300,199.1111,300
241,869.5803,70.46922,0,0.8726668,300,199.1111,300
242,872.6555,73.54442,0,0.8593334,300,199.1111,300
243,870.3137,71.20261,0,0.826,300,199.1111,300
244,868.3646,69.25351,0,0.8540001,300,199.1111,300
245,871.4548,72.34364,0,0.62,300,199.1111,300
246,870.8582,71.74708,0,0.672,300,199.1111,300
247,870.4974,71.38633,0,0.8973335,300,199.1111,300
248,871.3027,72.19159,0,0.8913335,300,199.1111,300
249,871.3027,72.1916,0,0.888,300,199.1111,300
250,872.4648,73.35374,0,0.8793334,300,199.1111,300
251,870.1906,71.07942,0,0.8766668,300,199.1111,300
252,871.2816,72.17048,0,0.6753333,300,199.1111,300
253,872.4332,73.32207,0,0.8183334,300,199.1111,300
254,869.9674,70.85629,0,0.702,300,199.1111,300
255,869.0178,69.90673,0,0.8660001,300,199.1111,300
256,870.4552,71.34409,0,0.6253333,300,199.1111,300
257,871.9771,72.86594,0,0.9320002,300,199.1111,300
258,869.4874,70.37624,0,0.6813334,300,199.1111,300
259,871.2816,72.17047,0,0.8560001,300,199.1111,300
260,869.8442,70.73311,0,0.9013335,300,199.1111,300
